,PC1,PC2,PC3,PC4,PC5,PC6,Max angle,Sample
150,14.430575,8.528737,-0.18382691,1.2532531,5.587614,6.7227025,90.0,15
151,14.545444,7.3926883,-0.20502123,1.5617373,6.0040145,7.574643,90.0,15
152,14.669627,8.472529,1.9101405,2.310713,5.680064,7.000488,101.0,15
153,14.538354,9.454001,-0.13725503,0.81099796,5.3673654,7.0498133,99.0,15
154,14.2618885,8.484336,0.10701165,0.84075516,5.937979,7.8662415,99.0,16
155,14.206508,6.213365,1.5408745,2.6035562,6.5014224,9.071786,118.0,16
156,13.746302,6.8889194,0.33618063,1.43418,6.3196344,7.6139755,90.0,16
157,13.7636385,6.118696,0.6272111,2.4079313,6.13281,7.443171,90.0,16
158,13.911852,7.066385,-0.17812419,1.2828197,6.319479,7.8533773,90.0,16
159,14.20718,7.580849,-0.064129375,1.0676132,6.045478,7.1998696,90.0,16
160,14.370844,8.155283,0.08454635,0.74737704,5.8928423,7.1103373,88.0,16
161,14.030774,7.854351,-0.120437525,0.90171504,6.11208,7.5918126,90.0,16
162,14.024491,8.133419,-0.17686604,0.7580445,6.011017,7.6614265,90.0,16
163,13.991705,5.5392747,1.3392283,2.570189,6.391463,8.02847,98.0,16
164,14.028069,8.480846,-0.05357565,1.0032736,5.92281,7.95002,96.0,16
165,14.478339,8.77621,-0.32376137,0.64239514,5.6851416,6.8834825,90.0,16
166,13.980964,8.102945,-0.06793068,1.8021032,5.7902436,7.170548,90.0,16
167,13.682674,7.2335186,-0.14878745,1.7335387,6.0388494,7.5332727,90.0,16
168,13.946728,7.1093736,0.10525191,1.1855863,6.233469,7.417055,90.0,16
169,14.478658,7.0209317,1.759531,1.9554988,6.3891687,8.486133,112.0,16
170,14.061923,5.917741,1.6642395,2.749967,6.4613934,8.495566,112.0,17
171,13.963257,8.389763,0.51479197,1.7693952,5.657862,8.071884,104.0,17
172,13.684819,7.833816,-0.41933128,1.2833985,6.050605,7.956539,90.0,17
173,14.3201685,8.992789,-0.45387796,0.51317495,5.655235,7.304756,90.0,17
174,14.084585,5.9093223,1.6397587,2.5914233,6.604991,8.728417,112.0,17
175,13.688671,7.2900047,0.15275049,1.3858775,6.293304,8.00348,95.0,17
176,13.560714,7.98414,-0.09221225,2.3298094,6.4485993,10.614048,104.0,17
177,14.12099,9.762481,-0.7249324,0.963911,5.1954775,6.7597566,90.0,17
178,13.94639,8.442099,-0.46124578,0.9035865,5.745035,7.4394574,90.0,17
179,14.220992,9.185587,0.8614895,2.137306,5.579238,7.960119,104.0,17
180,14.506918,8.218014,-0.62970597,3.28321,6.0933104,11.237133,90.0,17
181,13.541835,6.8046513,0.18060143,1.6099299,6.43871,8.080673,90.0,17
182,13.773558,8.965069,-0.10390944,1.6652286,5.6944666,8.148063,97.0,17
183,14.195344,7.0036554,1.8129574,2.2417905,6.5858274,10.753203,125.0,17
184,14.171452,7.9883304,-0.78676903,3.0067906,6.4089484,11.614662,92.0,17
185,14.268038,6.5963216,1.9383895,2.506806,6.587043,10.0197935,128.0,17
186,13.581126,6.699192,0.6752398,1.8652328,6.84754,9.5253315,104.0,18
187,13.893514,5.948384,1.2704979,2.5312448,6.639187,8.700853,106.0,18
188,13.66745,10.1627035,0.44268343,2.4924722,4.878327,6.212844,90.0,18
189,13.581594,8.245171,0.03998101,1.6644248,6.14303,9.178235,100.0,18
190,15.297824,5.8791223,0.14214858,2.3643303,6.760212,9.25928,90.0,18
191,14.252022,7.8714523,1.8470132,2.1634905,6.1475186,9.455602,119.0,18
192,13.555698,7.67658,0.23038693,1.70094,6.303692,8.868726,98.0,18
193,14.429236,7.0407934,1.3728902,2.0877159,6.355435,9.085417,116.0,18
194,14.10367,8.045383,1.5048827,2.047395,6.138485,9.591232,115.0,18
195,13.625753,6.877059,0.7500231,2.1845865,6.1078963,7.2842464,90.0,18
196,14.407224,9.878044,-0.19441856,1.2256505,5.2973294,6.5681925,90.0,18
197,14.104498,7.7791657,1.6229587,2.037411,6.03389,9.692564,118.0,18
198,13.97009,8.343106,-0.062448017,1.1919419,5.9782624,7.7385564,90.0,18
199,13.987298,8.400503,0.019109884,1.2283413,5.88224,7.439035,90.0,18
200,13.435463,6.9162273,0.7040756,2.1772153,6.4586377,8.458105,94.0,18
201,13.964187,7.6607184,0.091338605,0.85757405,6.179359,7.7560415,90.0,19
202,13.746194,8.821791,-0.37100035,1.453271,5.920438,8.65088,90.0,19
203,14.195392,8.191493,1.3385879,2.7486384,5.9861116,9.81125,122.0,19
204,14.143521,7.1717744,1.6653649,2.2984679,6.5645275,11.062767,129.0,19
205,13.692904,5.998084,0.6212124,2.0277636,6.646133,8.29297,90.0,19
206,14.212786,6.0956492,1.5084686,2.1692915,6.747471,8.836604,106.0,19
207,13.873636,8.472447,-0.19783728,2.351184,6.1544213,10.32081,104.0,19
208,13.9665985,8.613508,1.0845743,2.57204,5.645756,8.070018,106.0,19
209,14.237638,7.208661,2.043425,2.8004994,6.248083,9.887615,125.0,19
210,13.65831,5.946929,0.48982507,1.9489663,6.783217,8.614262,90.0,19
211,14.569447,8.214979,-0.48916924,3.3731496,6.051544,11.271998,108.0,19
212,13.729716,8.373711,-0.16015133,2.1222227,6.2536883,10.29265,104.0,19
213,13.904676,6.437114,0.47413504,1.9772369,7.108349,9.845164,104.0,19
214,13.752764,6.444217,0.52450144,2.1435442,6.3766837,8.107229,99.0,19
215,14.440771,6.502634,1.8206449,2.653247,6.6208577,10.741348,142.0,19
216,13.2458,6.4967895,0.39152452,2.224626,7.31772,11.319533,106.0,19
217,14.732979,5.641643,0.11916483,2.0656812,7.264758,9.90528,93.0,20
218,14.998642,5.2549567,0.56199807,2.3796022,7.41195,10.743809,129.0,20
219,14.00004,5.48072,0.4585606,2.0601215,7.3867373,9.989344,96.0,20
220,14.45154,5.6755996,-0.12023951,1.8963951,7.7377553,11.493056,108.0,20
221,13.872461,7.238274,1.2138866,2.1371024,6.754528,11.328481,119.0,20
222,14.439021,5.4936914,0.03858166,1.7330506,7.67598,10.774208,102.0,20
223,13.610282,6.6815395,0.23210588,1.4913622,7.233563,10.681928,102.0,20
224,13.960755,5.1821165,0.43032998,2.2583187,7.6658278,10.8616705,108.0,20
225,13.329563,6.266838,0.13132086,1.8789005,7.4858036,11.215419,97.0,20
226,13.524992,6.2914815,0.45482573,1.742114,7.3962383,10.696583,104.0,20
227,14.020552,6.4545503,0.09992572,1.7593242,7.114365,9.743586,98.0,20
228,13.482675,6.876093,0.07983973,1.5681738,7.214989,10.98625,101.0,20
229,13.928625,5.265458,0.364738,2.191242,7.5760474,10.540662,97.0,20
230,14.01107,5.855873,0.57947004,2.214523,7.591924,11.373067,112.0,20
231,14.243733,5.382334,0.7520047,2.431756,7.393682,10.49796,116.0,20
232,13.823453,7.5534315,0.85665286,2.410392,6.6143475,11.4566,116.0,20
233,14.032425,7.187313,1.0727042,2.7319567,6.675647,11.677833,123.0,21
234,13.84615,5.4071617,0.21883465,2.3200986,7.6667395,11.095058,104.0,21
235,13.706392,5.441582,0.2577161,2.0988367,7.7131605,11.020017,101.0,21
236,15.270632,5.6412716,0.03726177,2.22104,7.0844016,9.747681,103.0,21
237,14.420531,5.054457,0.14609529,2.2810564,7.658637,10.868634,107.0,21
238,14.417407,5.531964,0.12727453,2.241353,7.678806,10.984739,108.0,21
239,13.673429,6.3964734,0.765814,2.1598003,7.3255672,11.5902605,114.0,21
240,14.730225,5.3211656,0.13930275,2.2045076,7.718382,11.255531,116.0,21
241,15.221718,5.5415983,0.64310896,2.5874183,7.109862,10.549623,139.0,21
242,13.690102,8.24502,0.11003055,1.7984077,6.429067,10.222577,104.0,21
243,13.2730465,6.9488306,0.1725995,2.4517124,7.108899,11.587811,106.0,21
244,14.204031,5.811868,-0.04828872,1.8415242,7.7215695,11.019768,98.0,21
245,13.977209,6.2239356,0.97513777,2.204667,7.3641353,11.573085,118.0,21
246,14.457878,5.6621184,0.79302573,2.4953036,7.417179,11.500209,122.0,21
247,14.253741,6.0416603,0.09446844,2.428412,7.591967,10.822573,105.0,22
